MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
1	ADVIL200 MG	153008	ibuprofen 200 MG Oral Tablet [Advil]	5640	ibuprofen	C01EB	OTHER CARDIAC PREPARATIONS	C01E	OTHER CARDIAC PREPARATIONS	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
2	ADVIL200 MG	153008	ibuprofen 200 MG Oral Tablet [Advil]	5640	ibuprofen	G02CC	ANTIINFLAMMATORY PRODUCTS FOR VAGINAL ADMINISTRATION	G02C	OTHER GYNECOLOGICALS	G02	OTHER GYNECOLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
3	ADVIL200 MG	153008	ibuprofen 200 MG Oral Tablet [Advil]	5640	ibuprofen	M01AE	PROPIONIC ACID DERIVATIVES	M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	M01	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	M	MUSCULO-SKELETAL SYSTEM
4	ADVIL200 MG	153008	ibuprofen 200 MG Oral Tablet [Advil]	5640	ibuprofen	M02AA	ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE	M02A	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M02	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M	MUSCULO-SKELETAL SYSTEM
5	ADVIL200 MG	153008	ibuprofen 200 MG Oral Tablet [Advil]	5640	ibuprofen	R02AX	OTHER THROAT PREPARATIONS	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
6	SANCTURA XR60 MG	857564	24 HR trospium chloride 60 MG Extended Release Oral Capsule	236778	trospium	G04BD	DRUGS FOR URINARY FREQUENCY AND INCONTINENCE	G04B	UROLOGICALS	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
7	SANTYL15 GM	309509	collagenase 0.25 UNT/MG Topical Ointment	58939	collagenase	D03BA	PROTEOLYTIC ENZYMES	D03B	ENZYMES	D03	PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS	D	DERMATOLOGICALS
8	LIDODERM 5% P1 PATCH	1009464	Lidocaine Hydrochloride 0.05 MG/MG Transdermal Patch	6387	lidocaine 0.05 MG/MG Medicated Patch	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
9	COGENTIN1 MG	885213	benztropine mesylate 1 MG Oral Tablet	1424	benztropine	N04AC	ETHERS OF TROPINE OR TROPINE DERIVATIVES	N04A	ANTICHOLINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
10	SUBOXONE 8 MG-1 EAC1	1010604	buprenorphine 8 MG / naloxone 2 MG Sublingual Film	352364	buprenorphine / naloxone	N07BC	DRUGS USED IN OPIOID DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
11	WELLBUTRIN XL 300 MG	993564	24 HR bupropion hydrochloride 300 MG Extended Release Oral Tablet [Wellbutrin]	42347	bupropion	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
12	PROVERA 2.5MG2.5 MG	1000135	medroxyprogesterone acetate 2.5 MG Oral Tablet	6691	medroxyprogesterone	G03AC	PROGESTOGENS	G03A	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
13	PROVERA 2.5MG2.5 MG	1000135	medroxyprogesterone acetate 2.5 MG Oral Tablet	6691	medroxyprogesterone	G03DA	PREGNEN (4) DERIVATIVES	G03D	PROGESTOGENS	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
14	PROVERA 2.5MG2.5 MG	1000135	medroxyprogesterone acetate 2.5 MG Oral Tablet	6691	medroxyprogesterone	L02AB	PROGESTOGENS	L02A	HORMONES AND RELATED AGENTS	L02	ENDOCRINE THERAPY	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
15	ADVAIR 500/501 DISK	1359858	fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler	284635	fluticasone / salmeterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
16	ROXICET 5/325 T1 TAB	1049221	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet	214183	acetaminophen / oxycodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
17	BREO ELLIPTA 21 EACH	1648786	fluticasone furoate 0.2 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler	1424888	fluticasone / vilanterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
18	ADALAT CC30 MG	1812011	Osmotic 24 HR nifedipine 30 MG Extended Release Oral Tablet	7417	nifedipine	C08CA	DIHYDROPYRIDINE DERIVATIVES	C08C	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS	C08	CALCIUM CHANNEL BLOCKERS	C	CARDIOVASCULAR SYSTEM
19	VITAMIN D2000 UNIT	804146	cholecalciferol 0.05 MG Oral Capsule	2418	cholecalciferol	A11CC	VITAMIN D AND ANALOGUES	A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
20	ALFUZOSIN 10MG10 MG	861132	24 HR alfuzosin hydrochloride 10 MG Extended Release Oral Tablet	17300	alfuzosin	G04CA	ALPHA-ADRENORECEPTOR ANTAGONISTS	G04C	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY	G04	UROLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
21	KLOR-CON 1010 MEQ	1801298	Microencapsulated potassium chloride 10 MEQ Extended Release Oral Tablet	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
22	KLOR-CON 1010 MEQ	1801298	Microencapsulated potassium chloride 10 MEQ Extended Release Oral Tablet	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
23	HALDOL DECAN50 MG/ML	859867	haloperidol decanoate 50 MG/ML Injectable Solution	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
24	XENAZINE12.5 MG	805464	tetrabenazine 12.5 MG Oral Tablet	10390	tetrabenazine	N07XX	OTHER NERVOUS SYSTEM DRUGS	N07X	OTHER NERVOUS SYSTEM DRUGS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
25	FLUPHENAZINE2.5 MG	865123	fluphenazine hydrochloride 2.5 MG Oral Tablet	4496	fluphenazine	N05AB	PHENOTHIAZINES WITH PIPERAZINE STRUCTURE	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
26	PRISTIQ50 MG	1874559	24 HR desvenlafaxine succinate 50 MG Extended Release Oral Tablet	734064	desvenlafaxine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
